id,lat_lng,status
CC-1,"13.79325712546839, 100.31741305738934",Normal
CC-2,"13.795931329028928, 100.31759295069534",Broken
CC-3,"13.796788258367478, 100.31838590484747",Assistance
CC-4,"13.796584716136019, 100.31839683994016",Normal
CC-5,"13.796462063683126, 100.31864770467992",Normal
CC-6,"13.796461202915568, 100.31878597360809",Normal
CC-7,"13.796825431238036, 100.31996553586127",Normal
CC-8,"13.796813799973648, 100.32026314753686",Assistance
CC-9,"13.796577250674167, 100.32025913803953",Normal
CC-10,"13.796599028056963, 100.32155246355995",Normal
CC-11,"13.796775766215777, 100.32364183565568",Normal
CC-12,"13.79661756678389, 100.32363596540618",Normal
CC-13,"13.796473679644377, 100.32542884059751",Normal
CC-14,"13.79182697875615, 100.3260798478666",Normal
CC-15,"13.791941328048768, 100.32607721180516",Normal
CC-16,"13.791828685462418, 100.32597879884473",Normal
CC-17,"13.791830392168682, 100.32585578264421",Normal
CC-18,"13.791829225621298, 100.32483323153592",Broken
CC-19,"13.791822109258375, 100.32469889164115",Broken
CC-20,"13.791826886845666, 100.32364657450434",Broken
CC-21,"13.791825219120126, 100.32355126788924",Broken
CC-22,"13.791827330073364, 100.32392547572788",Normal
CC-23,"13.791829943261911, 100.32349470000096",Normal
CC-24,"13.791945145910555, 100.32350700162154",Normal
CC-25,"13.791831485220865, 100.32272885618956",Normal
CC-26,"13.791828095386155, 100.32245834470037",Normal
CC-27,"13.791838304806916, 100.32239976026496",Normal
CC-28,"13.791949663237116, 100.32239640750392",Normal
CC-29,"13.791849375530434, 100.32210605839738",Normal
CC-30,"13.791952268112022, 100.32210404674076",Normal
CC-31,"13.791842868580185, 100.32167634164354",Normal
CC-32,"13.79184801179945, 100.32081388701317",Normal
CC-33,"13.791957227161676, 100.32082144719745",Normal
CC-34,"13.791561371195943, 100.32073725987655",Normal
CC-35,"13.79155932547186, 100.32061782012565",Normal
CC-36,"13.791846023940002, 100.32070855930107",Normal
CC-37,"13.791844721501944, 100.32061535254401",Normal
CC-38,"13.791841522410289, 100.32026892490086",Normal
CC-39,"13.792043419859432, 100.32027617692655",Normal
CC-40,"13.791817941316395, 100.31890156768215",Normal
CC-41,"13.792048673817991, 100.31889960419038",Normal
CC-42,"13.792206005261175, 100.31883330655975",Normal
CC-43,"13.792208628251542, 100.31871919501114",Normal