place_en,place_th,place_category_en,place_address_en,place_address_th,place_phone_number,place_website_url,place_image,lat_lng,place_code
"Café Amazon for Chance, Faculty of Environment and Resource Studies",Café Amazon for Chance สาขาคณะสิ่งแวดล้อมและทรัพยากรศาสตร์,Cafe,"Badhanatala Environment Building, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", อาคารสิ่งแวดล้อมพัฒนดล มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(062) 594-5407,https://www.cafe-amazon.com/index.aspx,https://lh5.googleusercontent.com/p/AF1QipPXBCmpablpo8DLfwXOcTYcQMxjdMCtgVXf_shO=s1920,"13.795044516482365, 100.32161014224005",
"Café Amazon for Chance, Office of the President",Café Amazon for Chance สาขาสำนักงานอธิกานบดี,Cafe,"Office of the President, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", สำนักงานอธิการบดี มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(062) 594-5421,https://www.cafe-amazon.com/index.aspx,https://lh5.googleusercontent.com/p/AF1QipMx3U7Y2SCvF73QeVTWwB4SeXQz-wyfZssWLz9T=s1920,"13.793846379683266, 100.32538018493254",
"Cafeteria, International College",โรงอาหารวิทยาลัยนานาชาติ,Food,"Mahidol University International College, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", วิทยาลัยนานาชาติ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,https://lh5.googleusercontent.com/p/AF1QipObYhes7kV8kAQO6-At7BGGofyrYV-prx9z69lC=s1920,"13.79263400232518, 100.32618924316272",
"Cafeteria, Faculty of Engineering",โรงอาหารคณะวิศวกรรมศาสตร์,Food,"Faculty of Engineering Building 1, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", อาคารคณะวิศวกรรมศาสตร์ 1 มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,,"13.795932148994398, 100.32456917043532",
"Cafeteria, Faculty of Social Sciences and Humanities",โรงอาหารคณะสังคมศาสตร์และมนุษยศาสตร์,Food,"Faculty of Social Sciences and Humanities, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", คณะสังคมศาสตร์และมนุษยศาสตร์ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,,"13.79310843903763, 100.32534879244777",
Chaofaa Garden,สวนเจ้าฟ้า,Park,, ,,,,"13.792353080878604, 100.32120738668446",CFG
Somdej Phra Rajabida Court,ลานสมเด็จพระราชบิดา,Park,,,,,https://lh5.googleusercontent.com/p/AF1QipNiYUP-ivaal7jdgF230OmUOMybIendB0wzamuz=s1920,"13.792977144117328, 100.32119558800444",SPRC
Chiangrai Coffee,เชียงราย คอฟฟี่,Cafe,, ,(064) 775-9635,,https://lh5.googleusercontent.com/p/AF1QipOnwczI84z1XlIcLIDqO9o_siz2jnRYiKgXn9Qg=s1920,"13.792592286357985, 100.32223233341944",
Class Cafe @ Co-MU Space,คลาสคาเฟ่ สาขา Co-MU Space,Cafe,, ,,,,"13.794744904662318, 100.3243095206528",
"Inthanin Coffee, International College",อินทนิลคอฟฟี่ สาขาวิทยาลัยนานาชาติ,Cafe,, ,024410758,https://www.inthanincoffee.com/,https://lh5.googleusercontent.com/p/AF1QipOwy_MBsD7WhT-D5QiytQISeP4tiaHF4erO3P8x=s1920,"13.79260643345208, 100.32548203099014",
"Inthanin Coffee, Faculty of Graduate Studies",อินทนิลคอฟฟี่ สาขาบัณฑิตวิทยาลัย,Cafe,, ,,https://www.inthanincoffee.com/,https://lh5.googleusercontent.com/p/AF1QipN3M0Me_o4rd2kPOlzCcejLHzlaYieypq4lr-9G=s1920,"13.793588561257126, 100.32237207182118",
"Tora Cha, I See Tea",โทระฉะ สาขา I See Tea,Cafe,,,,,https://lh5.googleusercontent.com/p/AF1QipObGn78kqowRHI7oHCPd22ZlFp3yQvETDKWczeA=s1920,"13.79399306813946, 100.32477202984236",
ANGEL'S HUT,ANGEL'S HUT,Food,,,,,,"13.793637259536556, 100.32277116240786",
Mahidol Court,ลานมหิดล,Park,,,,,https://lh5.googleusercontent.com/p/AF1QipOpOC7Iakaz2t5nkdOyW_rgOaiFF2zYgTjnxQat=s1920,"13.79266650487115, 100.32420098212441",MUC
"MLC, Food Court",ศูนย์อาหาร ศูนย์การเรียนรู้มหิดล,Food,, ,,,https://lh5.googleusercontent.com/p/AF1QipOTRXkvc-jNGhTpZDMaOGY7r4RyiI72YKVR6JbE=s1920,"13.793583389341661, 100.32154668853191",
Bellinee's Bake & Brew at MU Art Gallery,Bellinee's Bake & Brew สาขา MU Art Gallery,Food,,,(091) 001-4184,http://www.bellinee.co.th/,https://lh5.googleusercontent.com/p/AF1QipOpnyTMIkHNRl9kUhzOJSGNwidH6htO72-06Qsb=s1920,"13.793912648011, 100.32080020296412",
Tonklarfacai,ต้นกล้าฟ้าใส,Food,, ,(085) 414-6966,,https://lh5.googleusercontent.com/p/AF1QipMvx5GWNZfEUQFqrJWgX23jaexYBEt-wGrv0zya=s1920,"13.792231787486141, 100.32574372576347",
True Coffee (MLC),ทรูคอฟฟี่ สาขาศูนย์การเรียนรู้มหิดล,Cafe,, ,,http://truecoffee.truecorp.co.th/,https://lh5.googleusercontent.com/p/AF1QipNo1P-79Nmeroth6uylHnVVunMhJU08OFFVIxw=s1920,"13.794462651823428, 100.32137883488429",
Badhanatala Environment Building,อาคารสิ่งแวดล้อมพัฒนดล,Building,"Badhanatala Environment Building, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารสิ่งแวดล้อมพัฒนดล มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 5000 ,https://en.mahidol.ac.th/,https://lh3.googleusercontent.com/p/AF1QipP07MSBGAk1POu96gHJhws87r3VAkz4rhqRtTaZ=s1920,"13.794723403212256, 100.3212633946009",ENB
En Bazaar,ศูนย์อาหาร En Bazaar,Food,"Badhanatala Environment Building, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารสิ่งแวดล้อมพัฒนดล มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,https://lh5.googleusercontent.com/p/AF1QipN5omLft-wbOm4gLO_6yvw3mJ4SP8DDgooSmOcw=s1920,"13.794785247400537, 100.32121329998749",
College of Sports Science and Technology,วิทยาลัยวิทยาศาสตร์และเทคโนโลยีการกีฬา,Building,"College of Sports Science and Technology, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",วิทยาลัยวิทยาศาสตร์และเทคโนโลยีการกีฬา มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 4295 ,https://ss.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipM5_sSJrNtnEVRa0bZRLpxc-oE5-a-kQL4pEcjZ=s1920,"13.79576026553588, 100.3211102623588",SS
Faculty of Engineering Building 1,อาคารคณะวิศวกรรมศาสตร์ 1,Building,"Faculty of Engineering Building 1, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารคณะวิศวกรรมศาสตร์ 1 มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 889 2138 ,https://www.eg.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipMSn25uLEhHGvY0opIl_POJn2MiEEcII2Jr0C5a=s1920,"13.79603539893377, 100.32492428345765",EG1
Faculty of Engineering Building 2,อาคารคณะวิศวกรรมศาสตร์ 2,Building,"Faculty of Engineering Building 2, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารคณะวิศวกรรมศาสตร์ 2 มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 889 2138 ,https://www.eg.mahidol.ac.th/,https://lh3.googleusercontent.com/p/AF1QipMbwLxoeu_W-OgldiVSHtI0sLa-xslEYvDu1VDn=s1920,"13.795748870032094, 100.3236223116318",EG2
Faculty of Engineering Building 3,อาคารคณะวิศวกรรมศาสตร์ 3,Building,"Faculty of Engineering Building 3, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารคณะวิศวกรรมศาสตร์ 3 มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 889 2138 ,https://www.eg.mahidol.ac.th/,https://lh3.googleusercontent.com/p/AF1QipO4xsOcVj8ttqvuQkTfWCFZXKZxfV8RGmiD-8O0=s1920,"13.795781671430516, 100.32616201334022",EG3
Faculty of Environment and Resource Studies,คณะสิ่งแวดล้อมและทรัพยากรศาสตร์,Building,"Faculty of Environment and Resource Studies, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",คณะสิ่งแวดล้อมและทรัพยากรศาสตร์ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 5000 ,https://en.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipM4-1f1QAoIG5wuRrN6wGdH-rY7lM2aVPG4XXI5=s1920,"13.795330484345886, 100.3223858048537",EN
Faculty of Graduate Studies,บัณฑิตวิทยาลัย,Building,"Faculty of Graduate Studies, Graduate Studies Building, Mahidol University, 25/25 Phutthamonthon Sai 4 Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",บัณฑิตวิทยาลัย มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,02 441 4125,https://graduate.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipOmwENTJXAviNnWYIN3EFZiHBUFHsGzcRIQe-YP=s1920,"13.793658520840962, 100.32229915564594",GR
Faculty of Information and Communication Technology,คณะเทคโนโลยีสารสนเทศและการสื่อสาร,Building,"Faculty of Information and Communication Technology, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",คณะเทคโนโลยีสารสนเทศและการสื่อสาร มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 0909 ,https://www.ict.mahidol.ac.th/,https://lh3.googleusercontent.com/p/AF1QipPPgANqu83ztPH0mTYMKy7_AWT0smOZwQHejJCO=s1920,"13.79441894220838, 100.32472494259375",ICT
Faculty of Science Building 1-2,อาคารคณะวิทยาศาสตร์ 1-2,Building,"Faculty of Science Building 1-2, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารคณะวิทยาศาสตร์ 1-2 มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 9322,https://science.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipOrAmX-HdWyHb0fxgRQXwcM3BW_hwcGpkeQua7U=s1920,"13.792782277293458, 100.32366900126621",SC12
Faculty of Science Building 3-4,อาคารคณะวิทยาศาสตร์ 3-4,Building,"Faculty of Science Building 3-4, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารคณะวิทยาศาสตร์ 3-4 มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 9322,https://science.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipOrAmX-HdWyHb0fxgRQXwcM3BW_hwcGpkeQua7U=s1920,"13.79290688923988, 100.3221316125067",SC34
Faculty of Social Sciences and Humanities,คณะสังคมศาสตร์และมนุษยศาสตร์,Building,"Faculty of Social Sciences and Humanities, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",คณะสังคมศาสตร์และมนุษยศาสตร์ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 800 2840,https://sh.mahidol.ac.th/,https://lh6.googleusercontent.com/Y2qCeSmpJvW-Gl8RA5qx-Bamb1GgOJpqxjxy-XdCaKbLhN56W5Qnv3sIcar3oUVsbw=s1920,"13.792836521245917, 100.32486913384415",SH
Institute of Human Right and Peace Studies,สถาบันสิทธิมนุษยชนและสันติศึกษา,Building,"Institute of Human Right and Peace Studies, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สถาบันสิทธิมนุษยชนและสันติศึกษา มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 0815 ,https://ihrp.mahidol.ac.th,https://lh5.googleusercontent.com/p/AF1QipM0E4puEFFiSEgxbWskcpNVhHgWb8vnj8CJkyo4=s1920,"13.793205253823182, 100.32534655889137",IHRP
Coffee Chale't,Coffee Chale't,Cafe,,,,,https://lh5.googleusercontent.com/p/AF1QipP7aJJzPH5KIk7G9_hzZNnGOJmJzIDG_uWZTT5x=s1920,"13.79649101569086, 100.32196983332776",
Institute of Nutrition,สถาบันโภชนาการ,Building,"Institute of Nutrition, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สถาบันโภชนาการ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 800 2380 ,https://inmu2.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipPatCSp5doWYGMedyiaiV7JH8ENyXmefLg25wRl=s1920,"13.796260109369495, 100.3224141818062",IN
Lecture Theater 1,อาคารบรรยายรวม 1,Building,"Lecture Theater 1, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารบรรยายรวม 1 มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,,"13.79369451113918, 100.32481513581638",L1
Lecture Theater 2,อาคารบรรยายรวม 2,Building,"Lecture Theater 2, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารบรรยายรวม 2 มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,,"13.793787832430821, 100.32331685268558",L2
Mahidol Learning Center (MLC),ศูนย์การเรียนรู้มหิดล,Building,"Mahidol Learning Center (MLC), Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",ศูนย์การเรียนรู้มหิดล มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 849 4101 ,https://op.mahidol.ac.th/mlc/,https://lh5.googleusercontent.com/p/AF1QipN2c5NlMdapLcIau3Z76ekcr9LVm6Ju6U0lrZk=s1920,"13.793917425344457, 100.32122718048839",MLC
Mahidol University International College,วิทยาลัยนานาชาติ,Building,"Mahidol University International College, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",วิทยาลัยนานาชาติ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 700 5000 ,https://muic.mahidol.ac.th,https://lh3.googleusercontent.com/p/AF1QipNHTkohAIOtLinwpiPiRgwV30fTs9ZeW2Tr2_oj=s1920,"13.792768153520907, 100.32602656378165",IC
Mahidol University Library and Knowledge Center,ห้องสมุดและคลังความรู้มหาวิทยาลัยมหิดล,Building,"Mahidol University Library and Knowledge Center, Mahidol University, 25/25 Phutthamonthon Sai 4 Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170","ห้องสมุดและคลังความรู้มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​
อำเภอพุทธมณฑล จังหวัดนครปฐม 73170", 02 800 2680 ,https://www.li.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipN-kh6Q0s7B9LlaIapTsUcI-d24wVp9-9sqFE3u=s1920,"13.79448444644781, 100.32414840858708",LI
Office of the President,สำนักงานอธิการบดี,Building,"Office of the President, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สำนักงานอธิการบดี มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 849 6000 ,https://op.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipM7spR_RWKhdAspr43zS0JGZMXKHogTqWoySaO1=s1920,"13.794442336579886, 100.3254058629714",OP
Aditayathorn Building (MUIC),อาคารอทิตยาทร (MUIC),Building,"Aditayathorn Building (MUIC), Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารอทิตยาทร (MUIC) มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 700 5000,https://muic.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipPhCZfXqlC6CJ_6pKugHLwqIc5EWH8Cqos1-cva=s1920,"13.790531211823804, 100.32653069696602",MUIC
"D'ORO, Aditayathorn Building (MUIC)",ดิโอโร่ สาขาอาคารอทิตยาทร (MUIC),Cafe,"Aditayathorn Building (MUIC), Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารอทิตยาทร (MUIC) มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(095) 208-4896,http://www.d-oro.coffee/,https://lh5.googleusercontent.com/p/AF1QipPu96EAZQbnpdNotG6BiloByUN-_QbvErjGtFPJ=s1920,"13.790163551579303, 100.32671536535548",
alt242@SALAYA,alt242@SALAYA,Food,,,(087) 650-8707,,https://lh5.googleusercontent.com/p/AF1QipMOB8JxHFgOnJKf8RvRQUC9kIs0U_cJ8d4JOe9a=s1920,"13.791659260573015, 100.3249354055689",
Coffee & More GARDEN,Coffee & More GARDEN,Cafe,,,(061) 496-9446,,https://lh5.googleusercontent.com/p/AF1QipP6_uYqBOpcnNIfjUJE0r6mcUH0rE9eBbtZWTWY=s1920,"13.791666991479024, 100.3250989802383",
IL Coffee,ไอแอลคอฟฟี่,Cafe,,,(065) 264-2895,,https://lh5.googleusercontent.com/p/AF1QipMMBogADuk6kmERHGr1LyJV9Fft73DLd9l3F1kr=s1920,"13.791400581566634, 100.32384697350386",
College of Music / Bhumibol Sangkeet Building (A),วิทยาลัยดุริยางคศิลป์ / อาคารภูมิพลสังคีต อาคาร A,Building,"College of Music / Bhumibol Sangkeet Building, Mahidol University, 25/25 Phutthamonthon Sai 4 Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",วิทยาลัยดุริยางคศิลป์ / อาคารภูมิพลสังคีต มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170, 02 800 2525 ,https://www.music.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipOXd3zf12_NiKeJI5lt7ubLUPsVY6NHCtnhzY8z=s1920,"13.78890,100.32477",MSA
